Ortsname,Latitude,Longitude,
Rueras,46.6749772,8.7502117,
Sedrun,46.679598,8.7737237,
Sedrun,46.679598,8.7737237,
Sedrun,46.679598,8.7737237,
Tavanasa,46.7540917,9.0623319,
Somvix,46.72786079999999,8.938301599999999,
Trun,46.7431522,8.991023,
Trun,46.7431522,8.991023,
DardinCasut,46.7589562,9.0490239,
Tavanasa,46.7540917,9.0623319,
ObersaxenSt.Joseph,46.74733699999999,9.0755162,
Tavanasa,46.7540917,9.0623319,
Waltensburg,46.77672130000001,9.1170754,
Ilanz,46.77421,9.20474,
Ilanz,46.77421,9.20474,
ValsStaumauerZervreila,46.578264,9.1179784,
SafienPlatz,46.6816444,9.314830400000002,
Rothenbrunnen,46.7682466,9.4272835,
Rothenbrunnen,46.7682466,9.4272835,
St.MartinLunschania,46.6607894,9.189462899999999,
Sagogn,46.7923608,9.25738,
Flims,46.8366348,9.2846923,
Flims,46.8366348,9.2846923,
Flims,46.8366348,9.2846923,
Flims,46.8366348,9.2846923,
Flims,46.8366348,9.2846923,
Flims,46.8366348,9.2846923,
TrinMulin,46.83411,9.34081,
Trin,46.82830449999999,9.3624372,
Ausserferrera,46.5571049,9.4392882,
Ausserferrera,46.5571049,9.4392882,
Nufenen,46.5394932,9.2433569,
Spluegen,46.5528268,9.3233581,
Sufers,46.5705798,9.3664443,
Andeer,46.6034023,9.4263657,
Andeer,46.6034023,9.4263657,
SilsNisellas,46.7036361,9.465468099999999,
Thusis,46.6960141,9.439494,
PredabeiBerguen,46.5909644,9.7710533,
DavosFrauenkirch,46.7673762,9.7975634,
DavosGlaris,46.745568,9.779931999999999,
Filisur,46.67341529999999,9.686377,
Tiefencastel,46.6618506,9.5771616,
Bivio,46.4677669,9.6504508,
Tinizong-Rona,46.5831572,9.616736,
Tinizong,46.5831572,9.616736,
Riom-Parsonz,46.5974706,9.5731025,
Tiefencastel,46.6618506,9.5771616,
Tiefencastel,46.6618506,9.5771616,
Vaz/Obervaz,46.72594,9.557649999999999,
SilsimDomleschg,46.7019286,9.455598199999999,
Rothenbrunnen,46.7682466,9.4272835,
Domat-Ems,46.8336355,9.4473545,
Litzirueti,46.7986269,9.702501,
LueenTewald,46.818188,8.227511999999999,
LueenTewald,46.818188,8.227511999999999,
ChurSand,46.8507835,9.5319859,
ChurSand,46.8507835,9.5319859,
ChurwaldenBaergliwaeg,46.7759466,9.543003299999999,
Klosters,46.8699029,9.882869699999999,
Klosters-Dorf,46.8836044,9.8748316,
Kueblis,46.9144002,9.7784561,
Seewis,46.9905027,9.637264199999999,
Landquart-Fabriken,46.9563994,9.5657933,
Landquart-Fabriken,46.9563994,9.5657933,
Vadura,46.9574335,9.4848798,
BadRagaz,47.0034141,9.501106199999999,
Ragaz,47.0034141,9.501106199999999,
Jenins,47.0005004,9.5577461,
Vilters,47.0299988,9.4484028,
WangsGaschiels,47.0299988,9.4484028,
Sevelen,47.1218764,9.486948,
BuchsWaldrand,47.14991759999999,9.445118599999999,
BuchsSteig-Aspenhoelzli,47.15509240000001,9.462734099999999,
BuchsAltendorf,47.1655403,9.4708594,
GrabsBannwald,47.1825657,9.444043299999999,
GrabsLoechli,47.1764382,9.4319309,
Sennwald,47.2612316,9.5042435,
Lienz,47.3774633,9.5469133,
OberrietBlatten,47.3199075,9.564426899999999,
Montlingen,47.3341624,9.5848066,
HeidenHinterlochen,47.46205579999999,9.5527038,
UntereggenLochmueli,47.460332,9.439970299999999,
Steinach,47.50321,9.442079999999999,
Schaffhausen,47.6958897,8.6380489,
Schaffhausen,47.6958897,8.6380489,
Neuhausen,47.6837423,8.6126098,
Rheinau,47.6433,8.60117,
NesslauuntererGiessenfall,47.4252828,9.024317199999999,
NesslauSchneit,47.216667,9.200000000000001,
Krummenau,47.2262651,9.198864799999999,
TrempelEbnat-Kappel,47.2498614,9.164830199999999,
Ebnat-Kappel,47.26548500000001,9.1235471,
Lichtensteig,47.3239036,9.087684399999999,
Buetschwil,47.3625195,9.0735291,
Buetschwil,47.3625195,9.0735291,
MuelaubeiBazenheidKirchberg,47.45750169999999,8.744069,
Glattmueli,47.4314679,9.1769872,
Bischofszell,47.4927034,9.2436496,
Raessenaueli,47.2805589,9.422387299999999,
Urnaesch,47.3170588,9.2826442,
Urnaesch,47.3170588,9.2826442,
St.Gallen,47.4244818,9.3767173,
St.GallenSittertal,47.41032149999999,9.3231431,
St.Gallen,47.4244818,9.3767173,
Wittenbach,47.4598793,9.3899899,
Schoenenberg,47.1932312,8.644027,
SchoenenberganderThur,47.520833,9.197778,
Buerglen,46.8761523,8.664463099999999,
Buerglen,46.8761523,8.664463099999999,
Buerglen,46.8761523,8.664463099999999,
Buerglen,46.8761523,8.664463099999999,
Weinfelden,47.5660299,9.1084456,
Weinfelden,47.5660299,9.1084456,
WeinfeldenuntereWiden,47.5660299,9.1084456,
Matzingen,47.5195701,8.934054999999999,
FrauenfeldSchlossmuehlestr.,47.55342049999999,8.8972856,
KollbrunnGmde.Zell,47.4569,8.7747,
SennhofIllnau-Effretikon,47.46738,8.759549999999999,
Neftenbach,47.5266537,8.6688227,
HardWuelflingeninWinterthur,47.5091076,8.6904167,
Freienstein,47.5313791,8.5851744,
Oberuster,47.34557,8.729650600000001,
Zweidlen,47.562501,8.470274,
Reckingen,46.4695173,8.2451355,
Hallau,47.6967786,8.4574122,
Leibstadt,47.5899397,8.173178,
Albbruck,47.59465729999999,8.1362987,
Laufenburg,47.502948,8.0223883,
BadSaeckingen,47.5513909,7.952157000000001,
Schwoerstadt,47.5922024,7.8753856,
SchwoerstaddtKWRyburg-Schw.,47.56749199999999,7.839517000000001,
Rheinfelden,47.55219,7.7922914,
Rheinfelden,47.55219,7.7922914,
Augst,47.53389,7.721349999999999,
Grenzach-Wyhlen,47.5523554,7.658088100000001,
Birsfelden,47.5516505,7.627249900000001,
GorgesdeCourt,47.2589145,7.3451214,
Choindez,47.32071,7.380450000000001,
UndervelierBlanches-Fontaine,47.2941146,7.2220181,
ChezTheurillatHaute-Sorne,47.34999999999999,7.233333,
Soyhieres,47.3904978,7.3690995,
Laufen,47.4204213,7.5004874,
Laufen,47.4204213,7.5004874,
Zwingen,47.43715659999999,7.530886600000001,
Nenzlingen,47.447616,7.561948699999999,
Grellingen,47.4409994,7.5905459,
Grellingen,47.4409994,7.5905459,
Grellingen,47.4409994,7.5905459,
Dornach,47.4790491,7.6170412,
Muenchenstein,47.5226485,7.6150661,
BarragedeKembs,47.7098922,7.5031728,
BarragedeKembs,47.7098922,7.5031728,
KembsLoechle,47.652079,7.506494999999999,
GrimselChessituren,46.5614,8.337579999999999,
GrimselSommerlochu.Hospiz,46.5614,8.337579999999999,
GrimselSommerlochu.Hospiz,46.5614,8.337579999999999,
Handegg,46.6125128,8.3068901,
Handegg,46.6125128,8.3068901,
Handegg,46.6125128,8.3068901,
Handegg,46.6125128,8.3068901,
GuttannenBlatti,46.6552082,8.2892297,
InnertkirchenUnderuerbach,46.697462,8.234651699999999,
Innertkirchen,46.70517659999999,8.227401,
Underi-FurenInnertkirchen,46.7280779,8.3325341,
Underi-FurenInnertkirchen,46.7280779,8.3325341,
Hopflauenen,46.71429999999999,8.27834,
Hopflauenen,46.71429999999999,8.27834,
Innertkirchen,46.70517659999999,8.227401,
MeiringenHaselholz,46.7251614,8.1909081,
Meiringen,46.7251614,8.1909081,
Schattenhalb,46.7185473,8.1911357,
Schattenhalb,46.7185473,8.1911357,
Schattenhalb,46.7185473,8.1911357,
Brienz,46.7541541,8.0316899,
Grindelwald,46.624164,8.0413962,
Luetschental,46.6382294,7.949146799999999,
LauterbrunnenStechelberg,46.5452567,7.902656100000001,
Saxeten,46.6363957,7.8311603,
Wilderswil,46.6652174,7.8689183,
InterlakenKanal,46.6863481,7.863204899999999,
Unterseen,46.6852116,7.848157400000001,
KanderstegEggeschwand,46.47908899999999,7.665742399999999,
KanderstegZilfuri,46.4947325,7.674435700000001,
KanderstegDorf,46.4947325,7.674435700000001,
Inner-Kandergrund,46.5443255,7.662839,
AdelbodenEngstligenalp,46.4308464,7.580008899999998,
ReichenbachLosplatte,46.5760797,7.732413599999998,
AdelbodenMoosweid,46.4957862,7.575569600000001,
Adelboden,46.4930889,7.5595123,
LaengmadamThunersee,46.7315725,7.669203500000001,
St.StephanMatten,46.50065,7.427209999999999,
St.Stephan,46.50595,7.402049999999999,
BoltigenGarstatt,46.592939,7.374384699999999,
Weissenburg,46.65835999999999,7.475439999999999,
Erlenbach,47.3052989,8.597147099999999,
Erlenbach,47.3052989,8.597147099999999,
Simmenfluh(Wimmis),46.6793,7.620889999999999,
Thun,46.7579868,7.6279881,
Thun,46.7579868,7.6279881,
